segment_no,start_n,end_n,candidates,survivors,stream_prime_count,compressed_size,raw_size,expansion_ratio,benchmark_mode,decomp_included,prep_included,cache_hit,cache_fits,presieve_bytes,repeats,limit,cpss_total_run_1,sieve_total_run_1,cpss_total_run_2,sieve_total_run_2,cpss_total_run_3,sieve_total_run_3,cpss_total_run_4,sieve_total_run_4,cpss_total_run_5,sieve_total_run_5,cpss_decompress_median,cpss_prep_median,cpss_query_median,cpss_total_median,sieve_total_median,winner,speedup,count_match
0,1,600599999,115200000,48975716,31354503,5796088,6121977,1.056226,hot,false,false,true,true,14400000,5,0,0.965931600,1.928512900,0.956387800,1.838949900,0.965991400,1.864425600,0.954006100,1.866696400,0.961701200,1.896153100,0.035313000,0.000000000,0.961701200,0.961701200,1.866696400,cpss,1.941035740,true
25,15015000001,15615599999,115200000,48582174,25611058,6074645,6072784,0.999694,hot,false,false,true,true,14400000,5,0,1.057266200,1.937610100,1.013520300,1.919169600,1.009264000,1.920648400,1.024082300,1.944394400,1.003965600,1.945305500,0.003728600,0.000000000,1.013520300,1.013520300,1.937610100,cpss,1.911762498,true
50,30030000001,30630599999,115200000,48577433,24885800,6074053,6072192,0.999694,hot,false,false,true,true,14400000,5,0,1.006242600,1.951039200,1.018088000,1.983548400,1.035845700,1.974280700,1.021550800,1.971320700,1.009380100,2.021527800,0.003936200,0.000000000,1.018088000,1.018088000,1.974280700,cpss,1.939204372,true
75,45045000001,45645599999,115200000,48579050,24476182,6074255,6072394,0.999694,hot,false,false,true,true,14400000,5,0,1.017471300,2.065303000,1.023355100,2.067032400,1.009783000,2.054764700,1.018808400,2.053429000,1.029711800,2.053799600,0.004440100,0.000000000,1.018808400,1.018808400,2.054764700,cpss,2.016831329,true
100,60060000001,60660599999,115200000,48582936,24197127,6074740,6072879,0.999694,hot,false,false,true,true,14400000,5,0,1.025628900,2.139170200,1.011244300,2.135244900,1.015987400,2.095105200,1.013860400,2.097811700,1.028849600,2.105791100,0.003886200,0.000000000,1.015987400,1.015987400,2.105791100,cpss,2.072654740,true
125,75075000001,75675599999,115200000,48585929,23981438,6075115,6073254,0.999694,hot,false,false,true,true,14400000,5,0,1.019059700,2.184924300,1.018114500,2.135090300,1.019132400,2.126073100,1.030377500,2.146958800,1.022974900,2.107830600,0.004004700,0.000000000,1.019132400,1.019132400,2.135090300,cpss,2.095007773,true
150,90090000001,90690599999,115200000,48589491,23808685,6075560,6073699,0.999694,hot,false,false,true,true,14400000,5,0,1.015441800,2.201730000,1.014808100,2.206266200,1.018974200,2.188217800,1.016787200,2.221280400,1.036477700,2.309377300,0.003963500,0.000000000,1.016787200,1.016787200,2.206266200,cpss,2.169840651,true
175,105105000001,105705599999,115200000,48590707,23658715,6075712,6073851,0.999694,hot,false,false,true,true,14400000,5,0,1.012844300,2.268109300,1.025072300,2.268857500,1.018778100,2.284631700,1.024341900,2.260754300,1.021393300,2.254721900,0.004189600,0.000000000,1.021393300,1.021393300,2.268109300,cpss,2.220603268,true
200,120120000001,120720599999,115200000,48593595,23537294,6076073,6074212,0.999694,hot,false,false,true,true,14400000,5,0,1.011460300,2.301015200,1.030177200,2.308207800,1.006034300,2.296005700,1.021929600,2.270405000,1.041900400,2.295972700,0.004417800,0.000000000,1.021929600,1.021929600,2.296005700,cpss,2.246735685,true
225,135135000001,135735599999,115200000,48595808,23430914,6076349,6074488,0.999694,hot,false,false,true,true,14400000,5,0,1.037656800,2.277574500,1.017340000,2.298246700,1.023957300,2.261455000,1.014239200,2.269946000,1.018991800,2.275780300,0.004017400,0.000000000,1.018991800,1.018991800,2.275780300,cpss,2.233364685,true
250,150150000001,150750599999,115200000,48598124,23336705,6076639,6074778,0.999694,hot,false,false,true,true,14400000,5,0,1.017852600,2.327961800,1.013976100,2.302701200,1.034087500,2.305176000,1.011361500,2.289302700,1.016267200,2.329640300,0.003967400,0.000000000,1.016267200,1.016267200,2.305176000,cpss,2.268277477,true
275,165165000001,165765599999,115200000,48599482,23252072,6076809,6074948,0.999694,hot,false,false,true,true,14400000,5,0,1.023598900,2.338745100,1.014627000,2.305018800,1.016441700,2.314641400,1.014361800,2.311844300,1.045454200,2.323411600,0.004297300,0.000000000,1.016441700,1.016441700,2.314641400,cpss,2.277200355,true
300,180180000001,180780599999,115200000,48601011,23169249,6077000,6075139,0.999694,hot,false,false,true,true,14400000,5,0,1.021484900,2.309133700,1.045765200,2.150138500,1.024251800,2.141840600,1.026672500,2.262094900,1.038658000,2.211507800,0.004554400,0.000000000,1.026672500,1.026672500,2.211507800,cpss,2.154053800,true
325,195195000001,195795599999,115200000,48602677,23100841,6077208,6075347,0.999694,hot,false,false,true,true,14400000,5,0,0.988062500,2.384932800,0.985021900,2.815950200,1.126461300,2.982396300,1.131143100,2.731313200,1.089389200,2.554982400,0.004290300,0.000000000,1.089389200,1.089389200,2.731313200,cpss,2.507196877,true
350,210210000001,210810599999,115200000,48602815,23034888,6077225,6075364,0.999694,hot,false,false,true,true,14400000,5,0,1.076489300,2.845814700,1.096046200,2.802018500,1.077482200,2.815220700,1.226584800,2.747480300,1.077579100,2.738925700,0.004070600,0.000000000,1.077579100,1.077579100,2.802018500,cpss,2.600290317,true
375,225225000001,225825599999,115200000,48605283,22974094,6077534,6075673,0.999694,hot,false,false,true,true,14400000,5,0,1.116554100,2.549219500,1.120705100,2.560124900,1.083904100,2.541938100,1.080513700,2.443273200,1.065063600,2.527228100,0.003690600,0.000000000,1.083904100,1.083904100,2.541938100,cpss,2.345168821,true
400,240240000001,240840599999,115200000,48606397,22919282,6077673,6075812,0.999694,hot,false,false,true,true,14400000,5,0,1.166771200,2.413102700,1.179723200,2.446462000,1.079622100,2.432540700,1.112838300,2.406263700,1.102597100,2.508789300,0.003838800,0.000000000,1.112838300,1.112838300,2.432540700,cpss,2.185888732,true
425,255255000001,255855599999,115200000,48607659,22861185,6077831,6075970,0.999694,hot,false,false,true,true,14400000,5,0,1.103933600,2.554073600,1.092142600,2.562014200,1.103338900,2.591458500,1.126428500,2.544384000,1.089708400,2.456808900,0.004133700,0.000000000,1.103338900,1.103338900,2.554073600,cpss,2.314858653,true
450,270270000001,270870599999,115200000,48608347,22817176,6077917,6076056,0.999694,hot,false,false,true,true,14400000,5,0,1.046981500,2.773423500,1.064042700,2.648654900,1.020184000,2.556487600,1.031605900,2.574007400,1.044195800,2.518495600,0.003803100,0.000000000,1.044195800,1.044195800,2.574007400,cpss,2.465062013,true
475,285285000001,285885599999,115200000,48609703,22769715,6078086,6076225,0.999694,hot,false,false,true,true,14400000,5,0,1.030602700,2.177357200,1.035270000,2.194232600,1.034989900,2.185647400,1.027988600,2.172844400,1.030028200,2.187445100,0.003596700,0.000000000,1.030602700,1.030602700,2.185647400,cpss,2.120746821,true
500,300300000001,300900599999,115200000,48610712,22725835,6078212,6076351,0.999694,hot,false,false,true,true,14400000,5,0,1.035281800,2.195293500,1.044144100,2.201971300,1.033470600,2.185027400,1.036297700,2.185696700,1.033812800,2.209825100,0.003562100,0.000000000,1.035281800,1.035281800,2.195293500,cpss,2.120479178,true
525,315315000001,315915599999,115200000,48611303,22681283,6078286,6076425,0.999694,hot,false,false,true,true,14400000,5,0,1.028967300,2.166896300,1.035640700,2.213701000,1.035316500,2.285436200,1.056915800,2.206472100,1.096635500,2.501733800,0.003565800,0.000000000,1.035640700,1.035640700,2.213701000,cpss,2.137518350,true
550,330330000001,330930599999,115200000,48612043,22646283,6078379,6076518,0.999694,hot,false,false,true,true,14400000,5,0,1.042821400,2.202037200,1.079969500,2.206814500,1.075967100,2.246971400,1.036129000,2.211978000,1.051072800,2.239834500,0.003577200,0.000000000,1.051072800,1.051072800,2.211978000,cpss,2.104495522,true
575,345345000001,345945599999,115200000,48613107,22606389,6078512,6076651,0.999694,hot,false,false,true,true,14400000,5,0,1.052329000,2.255388700,1.036278700,2.269552500,1.060152300,2.238723000,1.056113300,2.277646300,1.034099900,2.242631100,0.003637800,0.000000000,1.052329000,1.052329000,2.255388700,cpss,2.143235338,true
600,360360000001,360960599999,115200000,48613883,22569034,6078609,6076748,0.999694,hot,false,false,true,true,14400000,5,0,1.046054500,2.258233400,1.063363600,2.310802800,1.055101100,2.249951600,1.039642500,2.262253300,1.048300800,2.281144900,0.003606000,0.000000000,1.048300800,1.048300800,2.262253300,cpss,2.158019244,true
625,375375000001,375975599999,115200000,48614042,22532675,6078629,6076768,0.999694,hot,false,false,true,true,14400000,5,0,1.040361500,2.213987100,1.030202600,2.226718100,1.037573900,2.304229800,1.024826200,2.247429500,1.030038400,2.257876900,0.003585700,0.000000000,1.030202600,1.030202600,2.247429500,cpss,2.181541282,true
650,390390000001,390990599999,115200000,48614946,22501972,6078742,6076881,0.999694,hot,false,false,true,true,14400000,5,0,1.065245700,2.199368900,1.063171700,2.471497100,1.189985700,2.184639300,1.038384800,2.196721700,1.032026000,2.212724000,0.003647700,0.000000000,1.063171700,1.063171700,2.199368900,cpss,2.068686460,true
675,405405000001,406005599999,115200000,48615112,22473144,6078762,6076901,0.999694,hot,false,false,true,true,14400000,5,0,1.040287100,2.214313100,1.055414100,2.249132900,1.037044200,2.219735600,0.560922900,1.546239800,0.483776200,1.565004600,0.003538800,0.000000000,1.037044200,1.037044200,2.214313100,cpss,2.135215741,true
700,420420000001,421020599999,115200000,48616005,22438557,6078874,6077013,0.999694,hot,false,false,true,true,14400000,5,0,0.485514300,1.551313100,0.492452300,1.587845700,0.488308800,1.583899700,0.486287600,1.558286100,0.501524100,1.543745300,0.001995700,0.000000000,0.488308800,0.488308800,1.558286100,cpss,3.191189879,true
