Performance Profiler Log
Started: 20260412_012909
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,481861894.189,28.772,481861865.417,27.505,0.003,0.960,0.175,0.006,0.027,0.025,0.002,0.010,0.000,0.059
1,33.860,33.777,0.083,8.045,0.003,0.722,24.854,0.005,0.027,0.018,0.037,0.006,0.003,0.057
2,31.991,31.916,0.075,30.906,0.003,0.704,0.176,0.006,0.027,0.017,0.002,0.011,0.003,0.061
3,42.385,42.294,0.091,4.259,0.003,0.742,37.168,0.005,0.031,0.013,0.002,0.007,0.003,0.062
4,24.186,24.113,0.073,23.083,0.003,0.698,0.173,0.005,0.027,0.013,0.041,0.007,0.003,0.060
5,34.465,34.407,0.058,33.434,0.002,0.690,0.179,0.003,0.025,0.012,0.001,0.006,0.003,0.053
6,32.403,32.339,0.064,31.159,0.002,0.863,0.176,0.005,0.050,0.017,0.001,0.006,0.002,0.057
7,35.979,35.909,0.070,3.689,0.002,0.689,31.433,0.003,0.022,0.011,0.001,0.006,0.002,0.051
8,31.250,31.177,0.074,30.137,0.003,0.704,0.171,0.005,0.034,0.013,0.041,0.008,0.003,0.059
9,33.415,33.357,0.058,32.380,0.002,0.693,0.172,0.004,0.030,0.011,0.001,0.009,0.003,0.054
10,33.654,33.599,0.055,32.609,0.002,0.708,0.177,0.004,0.024,0.012,0.001,0.007,0.002,0.053
11,37.270,37.179,0.091,35.816,0.004,0.945,0.252,0.007,0.041,0.018,0.002,0.012,0.004,0.079
12,42.008,41.916,0.092,4.092,0.003,0.691,36.974,0.004,0.031,0.013,0.039,0.007,0.003,0.058
13,19.772,19.698,0.074,18.796,0.004,0.619,0.148,0.009,0.035,0.014,0.003,0.011,0.003,0.057
14,33.837,33.760,0.077,32.734,0.003,0.710,0.175,0.006,0.034,0.014,0.002,0.011,0.003,0.069
15,33.433,33.372,0.061,32.383,0.003,0.699,0.174,0.004,0.026,0.012,0.001,0.008,0.003,0.058
16,44.631,44.529,0.102,3.932,0.003,0.737,39.681,0.005,0.037,0.014,0.041,0.007,0.003,0.069
17,20.858,20.773,0.085,19.733,0.003,0.714,0.186,0.015,0.033,0.013,0.002,0.011,0.003,0.061
18,34.709,34.651,0.058,33.662,0.003,0.704,0.175,0.004,0.025,0.012,0.001,0.007,0.002,0.056
19,32.930,32.857,0.073,31.600,0.003,0.719,0.174,0.005,0.103,0.011,0.012,0.163,0.003,0.064
20,34.500,34.427,0.073,33.365,0.003,0.720,0.178,0.006,0.031,0.012,0.041,0.007,0.003,0.060
21,32.055,31.978,0.077,27.885,0.003,0.706,3.070,0.006,0.032,0.014,0.002,0.010,0.003,0.248
22,32.774,32.686,0.087,11.678,0.003,0.717,20.173,0.004,0.028,0.013,0.002,0.010,0.003,0.057
23,34.178,34.110,0.068,33.052,0.003,0.721,0.179,0.005,0.030,0.012,0.040,0.007,0.003,0.058
24,32.770,32.711,0.059,31.716,0.002,0.709,0.176,0.003,0.026,0.011,0.001,0.009,0.002,0.054
25,34.454,34.395,0.059,33.427,0.002,0.687,0.175,0.003,0.026,0.012,0.001,0.006,0.002,0.052
26,46.172,46.088,0.084,4.637,0.003,0.707,40.628,0.004,0.029,0.012,0.001,0.008,0.003,0.055
27,59.858,59.776,0.083,58.621,0.004,0.722,0.181,0.008,0.087,0.018,0.049,0.006,0.007,0.073
28,6.020,5.903,0.117,4.506,0.004,0.935,0.248,0.007,0.062,0.022,0.003,0.018,0.004,0.093
29,21.069,20.964,0.105,19.906,0.004,0.661,0.204,0.009,0.044,0.019,0.003,0.013,0.005,0.097
30,32.643,32.568,0.075,31.532,0.003,0.723,0.178,0.006,0.034,0.011,0.002,0.011,0.003,0.066
31,35.525,35.455,0.070,34.378,0.003,0.740,0.176,0.004,0.032,0.013,0.040,0.006,0.003,0.061
32,30.923,30.859,0.063,29.844,0.003,0.719,0.179,0.004,0.029,0.012,0.001,0.008,0.002,0.059
33,33.021,32.968,0.053,31.973,0.002,0.713,0.178,0.003,0.025,0.010,0.001,0.007,0.002,0.053
34,34.397,34.350,0.047,33.384,0.002,0.700,0.176,0.002,0.020,0.010,0.001,0.005,0.002,0.050
35,32.792,32.717,0.075,31.652,0.003,0.714,0.175,0.006,0.033,0.014,0.042,0.007,0.003,0.068
36,32.880,32.817,0.063,31.840,0.003,0.695,0.171,0.004,0.027,0.012,0.001,0.008,0.002,0.054
37,34.666,34.617,0.050,33.667,0.001,0.690,0.170,0.003,0.019,0.010,0.001,0.005,0.002,0.050
38,32.294,32.249,0.044,31.423,0.001,0.550,0.175,0.003,0.013,0.009,0.035,0.004,0.001,0.033
39,32.913,32.848,0.065,31.840,0.003,0.710,0.182,0.004,0.028,0.012,0.002,0.008,0.003,0.057
40,33.896,33.822,0.074,32.853,0.003,0.689,0.172,0.004,0.027,0.010,0.001,0.008,0.003,0.053
41,48.043,47.954,0.089,4.322,0.003,0.702,42.799,0.005,0.033,0.014,0.002,0.011,0.003,0.060
42,25.639,25.542,0.098,4.198,0.004,0.612,20.567,0.008,0.036,0.015,0.037,0.008,0.003,0.054
43,27.036,26.964,0.073,25.971,0.003,0.687,0.175,0.005,0.028,0.014,0.002,0.010,0.003,0.066
44,32.735,32.526,0.209,31.455,0.003,0.701,0.253,0.005,0.026,0.012,0.002,0.009,0.003,0.058
45,40.560,40.464,0.096,4.384,0.003,0.713,35.240,0.005,0.033,0.013,0.002,0.008,0.003,0.059
46,25.296,25.220,0.076,24.192,0.003,0.690,0.172,0.006,0.034,0.012,0.040,0.007,0.003,0.062
47,33.881,33.810,0.071,32.818,0.003,0.695,0.176,0.005,0.029,0.012,0.001,0.008,0.003,0.060
48,32.954,32.878,0.076,31.860,0.003,0.700,0.176,0.006,0.035,0.013,0.002,0.010,0.003,0.070
