=== NQL SDK RAM SNAPSHOT 001 ===
timestamp=2026-04-13 15:22:41.050
WorkingSet=6315.1 MB
PeakWorkingSet=6320.1 MB
PrivateBytes=6348.8 MB
PagefileUsage=6348.8 MB
PeakPagefile=6360.9 MB
VRAM_Local=215.9 MB  (discrete GPU memory in use)
VRAM_Shared=0.0 MB  (system RAM used by GPU for non-local resources)
TextureArray_Est=3.44 MB  (block+font atlas, RGBA8 no mips, 881 layers)
ResidentChunks=335


[RAM: per-chunk breakdown — all values are CPU RAM unless noted]
SLOT   CX     CZ     SCX    SCZ    ROLE | BLK_KB   CMESH_KB   UPLOAD_KB SUB_KB   SIM_KB  CONS_KB  TOTAL_KB 
------ ------ ------ ------ ------ ---- + -------- ---------- --------- -------- ------- -------- ---------
0      -4     -3     -1     -1     PRI  | 2136     1937       1937      0        512     0        6522     
1      -4     -4     -1     -1     PRI  | 2152     5153       5153      0        512     0        12970    
2      -3     -4     -1     -1     PRI  | 2168     8364       8364      0        512     0        19408    
3      -4     -1     -1     -1     PRI  | 1824     0          0         14652    512     0        16988    
4      -5     -4     -1     -1     PRI  | 2152     8388       8388      0        512     0        19440    
5      -2     -3     -1     -1     PRI  | 2352     0          0         15445    512     0        18309    
6      -3     -3     -1     -1     PRI  | 2168     1971       1971      0        512     0        6622     
7      -5     -3     -1     -1     PRI  | 2152     5065       5065      0        512     0        12794    
8      -3     -2     -1     -1     PRI  | 2112     7847       7847      0        512     0        18318    
9      -5     -2     -1     -1     PRI  | 2080     7689       7689      0        512     0        17970    
10     -4     -2     -1     -1     PRI  | 2032     13507      13507     0        512     0        29558    
11     -6     -1     -1     -1     PRI  | 1784     0          0         14458    512     0        16754    
12     -5     -1     -1     -1     PRI  | 1816     0          0         9351     512     0        11679    
13     -6     -4     -1     -1     PRI  | 2136     0          0         11405    512     0        14053    
14     -5     -5     -1     -1     PRI  | 2168     0          0         11498    512     0        14178    
15     -4     -6     -1     -1     PRI  | 2152     0          0         14586    512     0        17250    
16     -2     -5     -1     -1     PRI  | 2264     0          0         15146    512     0        17922    
17     -2     -2     -1     -1     PRI  | 2296     0          0         8642     512     0        11450    
18     -6     -5     -1     -1     PRI  | 2152     0          0         14614    512     0        17278    
19     -4     -5     -1     -1     PRI  | 2136     0          0         11354    512     0        14002    
20     -3     -5     -1     -1     PRI  | 2168     0          0         11563    512     0        14243    
21     -3     -1     -1     -1     PRI  | 1840     0          0         9592     512     0        11944    
22     -6     -3     -1     -1     PRI  | 2160     0          0         11401    512     0        14073    
23     -2     -4     -1     -1     PRI  | 2312     0          0         8812     512     0        11636    
24     -2     -1     -1     -1     PRI  | 2088     0          0         16510    512     0        19110    
25     -1     -3     -1     -1     PRI  | 2504     0          0         16830    512     0        19846    
26     -6     -2     -1     -1     PRI  | 2104     0          0         10839    512     0        13455    
27     -7     -1     -1     -1     PRI  | 1768     0          0         14424    512     0        16704    
28     -3     -6     -1     -1     PRI  | 2168     0          0         14626    512     0        17306    
29     -7     -4     -1     -1     PRI  | 2120     0          0         14385    512     0        17017    
30     -5     -6     -1     -1     PRI  | 2144     0          0         14598    512     0        17254    
31     -7     -3     -1     -1     PRI  | 2120     0          0         14267    512     0        16899    
32     -7     -5     -1     -1     PRI  | 2128     0          0         14460    512     0        17100    
33     -6     -6     -1     -1     PRI  | 2152     0          0         14649    512     0        17313    
34     -2     -6     -1     -1     PRI  | 2184     0          0         14758    512     0        17454    
35     -7     -2     -1     -1     PRI  | 2080     0          0         13367    512     0        15959    
36     -1     -4     -1     -1     PRI  | 2440     0          0         19844    512     0        22796    
37     -1     -5     -1     -1     PRI  | 2360     0          0         19230    512     0        22102    
38     -4     -7     -1     -1     PRI  | 2136     0          0         14602    512     0        17250    
39     -8     -3     -1     -1     PRI  | 1984     0          0         13075    512     0        15571    
40     -3     -7     -1     -1     PRI  | 2176     0          0         14729    512     0        17417    
41     -1     -2     -1     -1     PRI  | 2504     0          0         19942    512     0        22958    
42     -1     -1     -1     -1     PRI  | 2392     0          0         22233    512     0        25137    
43     -8     -1     -1     -1     PRI  | 1672     0          0         14103    512     0        16287    
44     -8     -2     -1     -1     PRI  | 1840     0          0         12438    512     0        14790    
45     -8     -4     -1     -1     PRI  | 2024     0          0         13709    512     0        16245    
46     -5     -7     -1     -1     PRI  | 2176     0          0         14755    512     0        17443    
47     -7     -6     -1     -1     PRI  | 2184     0          0         14659    512     0        17355    
48     -1     -6     -1     -1     PRI  | 2248     0          0         18478    512     0        21238    
49     -8     -5     -1     -1     PRI  | 2104     0          0         14083    512     0        16699    
50     -2     -7     -1     -1     PRI  | 2168     0          0         14678    512     0        17358    
51     -9     -3     -1     -1     PRI  | 1752     0          0         12322    512     0        14586    
52     -6     -7     -1     -1     PRI  | 2208     0          0         14947    512     0        17667    
53     -4     -8     -1     -1     PRI  | 2192     0          0         14748    512     0        17452    
54     -7     -7     -1     -1     PRI  | 2232     0          0         14964    512     0        17708    
55     -9     -2     -1     -1     PRI  | 1616     0          0         11971    512     0        14099    
56     -8     -6     -1     -1     PRI  | 2184     0          0         14632    512     0        17328    
57     -1     -7     -1     -1     PRI  | 2144     0          0         17910    512     0        20566    
58     -5     -8     -1     -1     PRI  | 2168     0          0         14760    512     0        17440    
59     -9     -1     -1     -1     PRI  | 1544     0          0         13164    512     0        15220    
60     -3     -8     -1     -1     PRI  | 2184     0          0         14819    512     0        17515    
61     -9     -4     -1     -1     PRI  | 1904     0          0         12691    512     0        15107    
62     -6     -8     -1     -1     PRI  | 2224     0          0         15051    512     0        17787    
63     -10    -3     -1     -1     PRI  | 1544     0          0         11577    512     0        13633    
64     -2     -8     -1     -1     PRI  | 2176     0          0         14763    512     0        17451    
65     -10    -2     -1     -1     PRI  | 1544     0          0         10598    512     0        12654    
66     -9     -6     -1     -1     PRI  | 2144     0          0         14322    512     0        16978    
67     -7     -8     -1     -1     PRI  | 2256     0          0         15225    512     0        17993    
68     -8     -7     -1     -1     PRI  | 2232     0          0         15022    512     0        17766    
69     -1     -8     -1     -1     PRI  | 2168     0          0         17917    512     0        20597    
70     -4     -9     -1     -1     PRI  | 2176     0          0         14837    512     0        17525    
71     -10    -4     -1     -1     PRI  | 1720     0          0         12106    512     0        14338    
72     -9     -5     -1     -1     PRI  | 1976     0          0         13279    512     0        15767    
73     -5     -9     -1     -1     PRI  | 2160     0          0         14874    512     0        17546    
