Performance Profiler Log
Started: 20260413_152453
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,CU_ManagerUpdate_ms,CU_Eviction_ms,CU_SyncLoad_ms,CU_SyncWorldgen_ms,CU_SyncMesh_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms,ChunksEvicted,ChunksSyncGen,ChunksSyncLoaded,DesiredCount,ResidentCount
StartGraphics: preset=high display=borderless grid=9 render_distance=4 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 experimental_runtime_opt=1 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,29.661,28.975,0.686,27.286,0.004,0.004,0.000,0.000,0.000,0.000,0.693,0.873,0.007,0.030,0.001,0.002,0.001,0.000,0.079,0,0,0,400,400
1,34.331,34.308,0.023,32.630,0.004,0.004,0.000,0.000,0.000,0.000,0.690,0.864,0.009,0.027,0.001,0.001,0.001,0.002,0.078,0,0,0,400,400
2,33.368,33.346,0.023,31.643,0.004,0.003,0.000,0.000,0.000,0.000,0.698,0.877,0.009,0.033,0.001,0.002,0.001,0.002,0.078,0,0,0,400,400
3,30.802,30.773,0.029,28.913,0.005,0.005,0.000,0.000,0.000,0.000,0.759,0.904,0.016,0.042,0.001,0.002,0.004,0.003,0.122,0,0,0,400,400
4,33.531,33.508,0.023,31.833,0.003,0.003,0.000,0.000,0.000,0.000,0.694,0.863,0.008,0.029,0.001,0.001,0.001,0.002,0.072,0,0,0,400,400
5,32.409,32.386,0.023,30.708,0.003,0.003,0.000,0.000,0.000,0.000,0.698,0.861,0.009,0.027,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
6,33.584,33.561,0.023,31.887,0.004,0.004,0.000,0.000,0.000,0.000,0.692,0.866,0.009,0.027,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
7,34.831,34.808,0.023,33.118,0.004,0.004,0.000,0.000,0.000,0.000,0.688,0.882,0.008,0.029,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
8,32.800,32.777,0.023,31.107,0.004,0.004,0.000,0.000,0.000,0.000,0.693,0.859,0.008,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
9,33.486,33.463,0.023,31.784,0.004,0.004,0.000,0.000,0.000,0.000,0.698,0.859,0.009,0.028,0.001,0.002,0.001,0.002,0.077,0,0,0,400,400
10,31.951,31.929,0.023,30.222,0.004,0.004,0.000,0.000,0.000,0.000,0.726,0.863,0.009,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
11,34.783,34.763,0.020,33.081,0.003,0.003,0.000,0.000,0.000,0.000,0.700,0.878,0.007,0.024,0.001,0.001,0.001,0.002,0.065,0,0,0,400,400
12,32.480,32.457,0.022,30.780,0.004,0.003,0.000,0.000,0.000,0.000,0.688,0.871,0.009,0.028,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
13,33.968,33.944,0.023,32.271,0.004,0.003,0.000,0.000,0.000,0.000,0.692,0.864,0.009,0.026,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
14,33.402,33.378,0.024,31.699,0.004,0.003,0.000,0.000,0.000,0.000,0.696,0.863,0.010,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
15,33.408,33.386,0.023,31.706,0.004,0.004,0.000,0.000,0.000,0.000,0.701,0.860,0.009,0.027,0.001,0.002,0.001,0.002,0.075,0,0,0,400,400
16,32.855,32.832,0.023,31.142,0.004,0.003,0.000,0.000,0.000,0.000,0.711,0.861,0.008,0.027,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
17,32.718,32.695,0.023,31.009,0.004,0.003,0.000,0.000,0.000,0.000,0.689,0.875,0.008,0.029,0.001,0.002,0.002,0.002,0.076,0,0,0,400,400
18,34.040,34.018,0.022,32.344,0.003,0.003,0.000,0.000,0.000,0.000,0.687,0.868,0.008,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
19,32.757,32.733,0.024,31.050,0.004,0.003,0.000,0.000,0.000,0.000,0.689,0.871,0.009,0.031,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
20,33.684,33.661,0.023,31.987,0.004,0.003,0.000,0.000,0.000,0.000,0.688,0.868,0.009,0.026,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
21,33.917,33.894,0.023,32.214,0.004,0.004,0.000,0.000,0.000,0.000,0.693,0.867,0.009,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
22,32.998,32.975,0.023,31.301,0.004,0.003,0.000,0.000,0.000,0.000,0.691,0.863,0.009,0.026,0.001,0.002,0.001,0.002,0.075,0,0,0,400,400
23,32.893,32.869,0.023,31.183,0.004,0.004,0.000,0.000,0.000,0.000,0.691,0.876,0.009,0.029,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
24,34.199,34.175,0.024,32.295,0.004,0.003,0.000,0.000,0.000,0.000,0.706,0.879,0.009,0.028,0.001,0.002,0.001,0.002,0.249,0,0,0,400,400
25,32.661,32.638,0.024,30.965,0.004,0.003,0.000,0.000,0.000,0.000,0.692,0.863,0.008,0.026,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
26,33.904,33.880,0.024,32.201,0.004,0.003,0.000,0.000,0.000,0.000,0.688,0.867,0.009,0.033,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
27,32.903,32.880,0.023,31.205,0.004,0.003,0.000,0.000,0.000,0.000,0.691,0.868,0.008,0.027,0.001,0.002,0.001,0.002,0.071,0,0,0,400,400
28,32.668,32.645,0.023,30.971,0.003,0.003,0.000,0.000,0.000,0.000,0.688,0.865,0.009,0.029,0.001,0.002,0.001,0.002,0.075,0,0,0,400,400
29,33.409,33.386,0.024,31.713,0.004,0.003,0.000,0.000,0.000,0.000,0.685,0.869,0.009,0.027,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
30,31.546,31.517,0.029,29.730,0.004,0.004,0.000,0.000,0.000,0.000,0.693,0.868,0.008,0.050,0.001,0.002,0.002,0.004,0.155,0,0,0,400,400
31,35.473,35.457,0.016,33.806,0.002,0.002,0.000,0.000,0.000,0.000,0.671,0.861,0.005,0.058,0.000,0.001,0.000,0.002,0.052,0,0,0,400,400
32,32.887,32.864,0.023,31.192,0.004,0.003,0.000,0.000,0.000,0.000,0.692,0.863,0.009,0.026,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
33,35.335,35.306,0.029,33.609,0.003,0.003,0.000,0.000,0.000,0.000,0.693,0.884,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
34,30.425,30.401,0.024,28.723,0.004,0.003,0.000,0.000,0.000,0.000,0.695,0.863,0.009,0.028,0.001,0.002,0.001,0.002,0.075,0,0,0,400,400
35,33.074,33.051,0.023,31.352,0.004,0.004,0.000,0.000,0.000,0.000,0.687,0.891,0.008,0.028,0.001,0.002,0.001,0.002,0.075,0,0,0,400,400
36,34.188,34.164,0.024,32.477,0.003,0.003,0.000,0.000,0.000,0.000,0.693,0.876,0.008,0.030,0.001,0.001,0.001,0.002,0.072,0,0,0,400,400
