Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	C2375	'process_streamed_chunk_results_with_budget': redefinition; different linkage	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_bootstrap.c	608		
Error	C2375	'build_and_upload_chunk_sync': redefinition; different linkage	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_bootstrap.c	479		
Warning	C4013	'finalize_active_wall_chunk_sync' undefined; assuming extern returning int	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_bootstrap.c	1161		
Warning	C4013	'finish_editor_return_to_frontend' undefined; assuming extern returning int	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_core.c	844		
Error	C2371	'finish_editor_return_to_frontend': redefinition; different basic types	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_core.c	1874		
Error	C2065	'g_map_debug_compare': undeclared identifier	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_debug.c	9		
Error	C2065	'g_map_debug_compare': undeclared identifier	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_debug.c	28		
Error	C2065	'g_map_debug_compare': undeclared identifier	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_debug.c	87		
Warning	C4133	'initializing': incompatible types - from 'int *' to 'SdkMapDebugCompareState *'	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_debug.c	9		
Warning	C4133	'initializing': incompatible types - from 'int *' to 'SdkMapDebugCompareState *'	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_debug.c	28		
Warning	C4133	'initializing': incompatible types - from 'int *' to 'SdkMapDebugCompareState *'	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_debug.c	87		
Error	C2375	'load_missing_active_superchunk_wall_support_sync': redefinition; different linkage	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_bootstrap.c	726		
Warning	C4013	'stamp_editor_icon_plane' undefined; assuming extern returning int	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_core.c	1378		
Error	C2371	'stamp_editor_icon_plane': redefinition; different basic types	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_core.c	1642		
Warning	C4013	'stamp_editor_voxels_into_chunk_volume' undefined; assuming extern returning int	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_core.c	1234		
Error	C2371	'stamp_editor_voxels_into_chunk_volume': redefinition; different basic types	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_core.c	1604		
Error	C2197	'void process_active_wall_finalization_sync(void)': too many arguments for call	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_core.c	232		
Error	C1083	Cannot open include file: '../Blocks/sdk_block.h': No such file or directory	WorldgenDebugger	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\World\Worldgen\ConstructionCells\sdk_worldgen_construction_cells.c	5		
Error	C1083	Cannot open include file: '../Blocks/sdk_block.h': No such file or directory	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\World\Worldgen\ConstructionCells\sdk_worldgen_construction_cells.c	5		
Error	C1083	Cannot open include file: '../Persistence/sdk_persistence.h': No such file or directory	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\World\Worldgen\Scheduler\sdk_worldgen_scheduler.h	5		
Error	C1083	Cannot open include file: '../Superchunks/Geometry/sdk_superchunk_geometry.h': No such file or directory	WorldgenDebugger	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\World\Worldgen\Column\sdk_worldgen_column.c	6		
Error	C1083	Cannot open include file: '../Superchunks/Geometry/sdk_superchunk_geometry.h': No such file or directory	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\World\Worldgen\Column\sdk_worldgen_column.c	6		
Error	C1083	Cannot open include file: '../Worldgen/sdk_worldgen.h': No such file or directory	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\World\Chunks\ChunkStreamer\sdk_chunk_streamer.c	7		
Warning	C4028	formal parameter 1 different from declaration	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_core.c	1688		
Error	C2084	function 'int load_missing_active_wall_stage_sync(SdkActiveWallStage,int)' already has a body	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_bootstrap.c	751		
Error	C2084	function 'void stamp_editor_voxels_into_chunk(SdkChunk *,const uint8_t *)' already has a body	NqlSDK	C:\GitHub\CPSS\PrimeNumberTools\Viewers\C\Windows\Windows\NQL\SDK\Core\API\Session\sdk_api_session_core.c	1863		
