chunk_idx,cx,cz,top_y,palette_size,non_air_count,air_count,entropy,compression_potential,recommended_method
0,0,0,0,7,2096384,2097920,2.2078,71.58,6
1,0,0,0,20,966594,3227710,1.2484,84.74,6
2,0,0,0,14,1005586,3188718,1.3568,84.74,6
3,0,0,0,24,983177,3211127,1.3304,84.00,6
4,0,0,0,10,1035082,3159222,1.2254,85.03,6
5,0,0,0,10,1017426,3176878,1.2142,85.25,6
6,0,0,0,10,1023482,3170822,1.1555,85.29,6
7,0,0,0,10,1027600,3166704,1.2249,85.11,6
8,0,0,0,10,1020435,3173869,1.2177,85.21,6
9,0,0,0,10,1039862,3154442,1.2079,85.01,6
10,0,0,0,10,1045800,3148504,1.1975,84.97,6
11,0,0,0,10,1057299,3137005,1.2416,84.74,6
12,0,0,0,10,1044644,3149660,1.2586,84.86,6
13,0,0,0,10,1028867,3165437,1.2319,85.10,6
14,0,0,0,10,1033261,3161043,1.1993,85.10,6
15,0,0,0,10,1023927,3170377,1.2353,85.13,6
16,0,0,0,7,2096384,2097920,2.1143,71.73,6
17,0,0,0,23,946245,3248059,1.3371,84.57,6
18,0,0,0,19,843201,3351103,1.1613,86.50,6
19,0,0,0,7,2096384,2097920,2.1364,71.70,6
20,0,0,0,7,2096384,2097920,2.2018,71.59,6
21,0,0,0,13,976557,3217747,1.1312,85.65,6
22,0,0,0,16,840738,3353566,1.1421,86.90,6
23,0,0,0,19,859546,3334758,1.1578,86.32,6
24,0,0,0,16,852515,3341789,1.1590,86.75,6
25,0,0,0,7,2096384,2097920,2.1730,71.64,6
26,0,0,0,10,1014298,3180006,1.2214,85.26,6
27,0,0,0,10,1022598,3171706,1.2134,85.19,6
28,0,0,0,10,1044046,3150258,1.2307,84.91,6
29,0,0,0,20,960570,3233734,1.2188,84.87,6
30,0,0,0,10,1034460,3159844,1.2382,85.01,6
31,0,0,0,7,2096384,2097920,2.1577,71.66,6
32,0,0,0,10,1065565,3128739,1.2406,84.66,6
33,0,0,0,21,955431,3238873,1.2545,84.84,6
34,0,0,0,14,1000429,3193875,1.3505,84.80,6
35,0,0,0,6,2096384,2097920,2.0458,71.93,6
36,0,0,0,20,869887,3324417,1.2140,86.03,6
37,0,0,0,7,2096552,2097752,2.1081,71.74,6
38,0,0,0,9,2096384,2097920,2.2782,71.30,6
39,0,0,0,14,862152,3332152,1.1661,86.83,6
40,0,0,0,10,1056696,3137608,1.2434,84.75,6
41,0,0,0,13,838356,3355948,1.1183,87.29,6
42,0,0,0,10,1007879,3186425,1.2169,85.35,6
43,0,0,0,6,2096384,2097920,2.0473,71.93,6
44,0,0,0,10,1068843,3125461,1.2680,84.58,6
45,0,0,0,19,855193,3339111,1.1466,86.39,6
46,0,0,0,16,858147,3336157,1.1441,86.69,6
47,0,0,0,16,867647,3326657,1.1614,86.57,6
48,0,0,0,10,1046545,3147759,1.2469,84.86,6
49,0,0,0,10,1081856,3112448,1.2070,84.55,6
50,0,0,0,8,2096384,2097920,2.3044,71.35,6
51,0,0,0,9,2095712,2098592,2.2040,71.43,6
52,0,0,0,7,2096384,2097920,2.2046,71.59,6
53,0,0,0,13,870316,3323988,1.1621,86.85,6
54,0,0,0,10,1010055,3184249,1.2104,85.33,6
55,0,0,0,20,949473,3244831,1.2429,84.94,6
56,0,0,0,7,2043392,2150912,2.0831,72.37,6
57,0,0,0,10,1084656,3109648,1.2644,84.41,6
58,0,0,0,10,999690,3194614,1.2040,85.47,6
59,0,0,0,16,854847,3339457,1.1230,86.77,6
60,0,0,0,13,887545,3306759,1.1706,86.64,6
61,0,0,0,10,1039448,3154856,1.2347,84.96,6
62,0,0,0,16,852054,3342250,1.1069,86.82,6
63,0,0,0,16,882442,3311862,1.1552,86.40,6
64,0,0,0,10,1089606,3104698,1.2847,84.31,6
65,0,0,0,17,875134,3319170,1.1544,86.36,6
66,0,0,0,16,889787,3304517,1.1636,86.31,6
67,0,0,0,10,1067040,3127264,1.2425,84.64,6
68,0,0,0,7,2096384,2097920,2.2094,71.58,6
69,0,0,0,10,1096535,3097769,1.2280,84.35,6
70,0,0,0,7,2096384,2097920,2.2089,71.58,6
71,0,0,0,15,953110,3241194,1.2604,85.38,6
72,0,0,0,10,1034482,3159822,1.1799,85.12,6
73,0,0,0,10,1083578,3110726,1.2686,84.42,6
74,0,0,0,16,889964,3304340,1.1644,86.32,6
75,0,0,0,10,1057288,3137016,1.2411,84.76,6
76,0,0,0,16,871441,3322863,1.1166,86.59,6
77,0,0,0,16,896715,3297589,1.1461,86.26,6
78,0,0,0,10,1123347,3070957,1.2406,84.01,6
79,0,0,0,11,881614,3312690,1.1193,86.99,6
80,0,0,0,7,2096384,2097920,2.1826,71.62,6
81,0,0,0,10,1081921,3112383,1.1955,84.56,6
82,0,0,0,11,884996,3309308,1.1200,86.95,6
83,0,0,0,16,894388,3299916,1.1449,86.29,6
84,0,0,0,10,1007179,3187125,1.2174,85.35,6
85,0,0,0,10,1124116,3070188,1.2731,83.95,6
86,0,0,0,7,2096552,2097752,2.1071,71.74,6
87,0,0,0,10,1094607,3099697,1.2752,84.27,6
88,0,0,0,10,1040715,3153589,1.2221,84.98,6
89,0,0,0,16,899085,3295219,1.1502,86.24,6
90,0,0,0,14,901004,3293300,1.1615,86.37,6
91,0,0,0,11,895962,3298342,1.1214,86.82,6
92,0,0,0,16,900228,3294076,1.1208,86.27,6
93,0,0,0,10,1077964,3116340,1.2563,84.49,6
94,0,0,0,16,906365,3287939,1.1363,86.17,6
95,0,0,0,10,1129744,3064560,1.2954,83.85,6
96,0,0,0,10,1100016,3094288,1.2758,84.23,6
97,0,0,0,10,1016800,3177504,1.2162,85.24,6
98,0,0,0,7,2043392,2150912,2.0868,72.36,6
99,0,0,0,7,2096384,2097920,2.2059,71.59,6
100,0,0,0,10,1119689,3074615,1.2879,83.96,6
101,0,0,0,20,939290,3255014,1.2387,85.10,6
102,0,0,0,15,909653,3284651,1.1425,86.22,6
103,0,0,0,10,1020349,3173955,1.2220,85.20,6
104,0,0,0,11,911603,3282701,1.1390,86.63,6
105,0,0,0,11,908976,3285328,1.1489,86.64,6
106,0,0,0,10,1094391,3099913,1.2678,84.30,6
107,0,0,0,16,901267,3293037,1.1405,86.23,6
108,0,0,0,10,1091424,3102880,1.2721,84.32,6
109,0,0,0,15,1036022,3158282,1.2394,84.48,6
110,0,0,0,10,1051128,3143176,1.2232,84.85,6
111,0,0,0,16,904409,3289895,1.1302,86.21,6
112,0,0,0,10,1107426,3086878,1.3028,84.09,6
113,0,0,0,16,915863,3278441,1.1476,86.05,6
114,0,0,0,7,2096384,2097920,2.1772,71.63,6
115,0,0,0,7,2096384,2097920,2.2062,71.59,6
116,0,0,0,11,921163,3273141,1.1513,86.50,6
117,0,0,0,16,908917,3285387,1.1351,86.15,6
118,0,0,0,10,1043894,3150410,1.2001,84.99,6
119,0,0,0,10,1107256,3087048,1.2725,84.14,6
120,0,0,0,16,928974,3265330,1.1578,85.89,6
121,0,0,0,10,1109258,3085046,1.3022,84.06,6
122,0,0,0,16,908388,3285916,1.1441,86.14,6
123,0,0,0,7,2096384,2097920,2.2060,71.59,6
124,0,0,0,10,1102467,3091837,1.2312,84.28,6
125,0,0,0,16,921789,3272515,1.1669,85.96,6
126,0,0,0,16,909525,3284779,1.1425,86.13,6
127,0,0,0,10,1070799,3123505,1.2118,84.66,6
128,0,0,0,10,1105583,3088721,1.2898,84.12,6
129,0,0,0,15,972339,3221965,1.2694,85.20,6
130,0,0,0,11,926420,3267884,1.1455,86.45,6
131,0,0,0,10,1076172,3118132,1.1734,84.68,6
132,0,0,0,16,896897,3297407,1.1252,86.29,6
133,0,0,0,10,1033551,3160753,1.1752,85.14,6
134,0,0,0,16,889991,3304313,1.1290,86.37,6
135,0,0,0,16,914350,3279954,1.1451,86.07,6
136,0,0,0,10,1133039,3061265,1.2706,83.85,6
137,0,0,0,7,2096384,2097920,2.2057,71.59,6
138,0,0,0,10,1124676,3069628,1.3136,83.87,6
139,0,0,0,10,1134011,3060293,1.2828,83.83,6
140,0,0,0,16,896823,3297481,1.1341,86.29,6
141,0,0,0,13,927986,3266318,1.1585,86.21,6
142,0,0,0,10,1081209,3113095,1.2597,84.44,6
143,0,0,0,15,1069762,3124542,1.2635,84.06,6
144,0,0,0,16,918699,3275605,1.1385,86.03,6
145,0,0,0,11,944175,3250129,1.1553,86.23,6
146,0,0,0,7,2096384,2097920,2.2051,71.59,6
147,0,0,0,10,1062642,3131662,1.2480,84.67,6
148,0,0,0,13,930823,3263481,1.1750,86.16,6
149,0,0,0,10,1117271,3077033,1.2572,84.07,6
150,0,0,0,10,1105593,3088711,1.2851,84.13,6
151,0,0,0,16,944400,3249904,1.1578,85.70,6
152,0,0,0,10,1072881,3121423,1.2647,84.53,6
153,0,0,0,10,1064418,3129886,1.2268,84.70,6
