segment_no,start_n,end_n,candidates,survivors,stream_prime_count,compressed_size,raw_size,expansion_ratio,benchmark_mode,decomp_included,prep_included,cache_hit,cache_fits,presieve_bytes,repeats,limit,cpss_total_run_1,sieve_total_run_1,cpss_total_run_2,sieve_total_run_2,cpss_total_run_3,sieve_total_run_3,cpss_total_run_4,sieve_total_run_4,cpss_total_run_5,sieve_total_run_5,cpss_decompress_median,cpss_prep_median,cpss_query_median,cpss_total_median,sieve_total_median,winner,speedup,count_match
0,1,600599999,115200000,48975716,31354503,5796088,6121977,1.056226,fair,false,true,false,true,14400000,5,0,4.138441400,1.959342300,4.042296100,1.844467400,4.029378600,1.849231900,4.035317200,2.025696800,3.999914300,1.872068200,0.036509600,3.051010400,0.984232300,4.035317200,1.872068200,sieve,2.155539633,true
25,15015000001,15615599999,115200000,48582174,25611058,6074645,6072784,0.999694,fair,false,true,false,true,14400000,5,0,4.100992700,2.137296600,4.134371000,2.081993800,4.214554200,2.116285700,4.086689000,2.300752300,4.286342000,2.127065900,0.003575800,3.098599700,1.046573300,4.134371000,2.127065900,sieve,1.943696714,true
50,30030000001,30630599999,115200000,48577433,24885800,6074053,6072192,0.999694,fair,false,true,false,true,14400000,5,0,4.305859800,2.216480300,4.164961200,2.216250900,4.192729900,2.216719400,4.173439900,2.212876100,4.151320300,2.186378600,0.004331400,3.119883400,1.057730800,4.173439900,2.216250900,sieve,1.883108045,true
75,45045000001,45645599999,115200000,48579050,24476182,6074255,6072394,0.999694,fair,false,true,false,true,14400000,5,0,4.188033800,2.271568000,4.298371000,2.549821100,4.316623100,2.452597700,4.301797200,2.455020200,4.280198000,2.451706300,0.004607800,3.160452500,1.119745500,4.298371000,2.452597700,sieve,1.752578909,true
100,60060000001,60660599999,115200000,48582936,24197127,6074740,6072879,0.999694,fair,false,true,false,true,14400000,5,0,4.291105500,2.474952700,4.298361400,2.463179200,4.194462900,2.270530900,4.065050200,2.263405900,4.106026500,2.284392000,0.004278000,3.141656200,1.039130300,4.194462900,2.284392000,sieve,1.836139725,true
125,75075000001,75675599999,115200000,48585929,23981438,6075115,6073254,0.999694,fair,false,true,false,true,14400000,5,0,4.098237000,2.181749700,4.101066500,2.186213800,4.085304300,2.180257500,4.067543700,2.155194300,4.076307800,2.165750600,0.003658700,3.051831600,1.033472700,4.085304300,2.180257500,sieve,1.873771469,true
150,90090000001,90690599999,115200000,48589491,23808685,6075560,6073699,0.999694,fair,false,true,false,true,14400000,5,0,4.087268300,2.100954400,4.065847700,2.109097700,4.052116700,2.087028800,4.065415100,2.103923100,4.075551500,2.101264500,0.003971800,3.034215900,1.033205300,4.065847700,2.101264500,sieve,1.934952834,true
175,105105000001,105705599999,115200000,48590707,23658715,6075712,6073851,0.999694,fair,false,true,false,true,14400000,5,0,4.081637300,2.102002000,4.076971800,2.103102800,4.078867200,2.142693800,4.073645300,2.209368700,4.074453000,2.102468300,0.003583400,3.035983300,1.040988500,4.076971800,2.103102800,sieve,1.938550888,true
200,120120000001,120720599999,115200000,48593595,23537294,6076073,6074212,0.999694,fair,false,true,false,true,14400000,5,0,4.078719500,2.119477000,4.052435100,2.103216500,4.077374400,2.136169400,4.073303600,2.095954000,4.082088900,2.135703400,0.003881000,3.046551100,1.027807300,4.077374400,2.119477000,sieve,1.923764400,true
225,135135000001,135735599999,115200000,48595808,23430914,6076349,6074488,0.999694,fair,false,true,false,true,14400000,5,0,4.068764200,2.104885400,4.094149700,2.107975900,4.060477400,2.127552500,4.061036300,2.100182300,4.048149800,2.104630600,0.003855100,3.041013300,1.027682600,4.061036300,2.104885400,sieve,1.929338433,true
250,150150000001,150750599999,115200000,48598124,23336705,6076639,6074778,0.999694,fair,false,true,false,true,14400000,5,0,4.082728600,2.120850100,4.067058900,2.155485600,4.049320800,2.124136000,4.084337600,2.136888700,4.054018200,2.117871700,0.003769200,3.035651800,1.030187300,4.067058900,2.124136000,sieve,1.914688561,true
275,165165000001,165765599999,115200000,48599482,23252072,6076809,6074948,0.999694,fair,false,true,false,true,14400000,5,0,4.076353700,2.181460700,4.095063500,2.187561300,4.078328800,2.169787500,4.062636800,2.191054000,4.053269500,2.151278600,0.004139000,3.037494600,1.033936300,4.076353700,2.181460700,sieve,1.868634947,true
300,180180000001,180780599999,115200000,48601011,23169249,6077000,6075139,0.999694,fair,false,true,false,true,14400000,5,0,4.069703400,2.189070200,4.069769300,2.162795700,4.134701200,2.175697700,4.077692400,2.209300400,4.073017600,2.204036900,0.003863500,3.047218300,1.030134300,4.073017600,2.189070200,sieve,1.860615342,true
325,195195000001,195795599999,115200000,48602677,23100841,6077208,6075347,0.999694,fair,false,true,false,true,14400000,5,0,4.122478700,2.186331800,4.117881600,2.244278500,4.132616300,1.716036200,2.032478100,1.551323700,1.941811700,1.549412400,0.004048600,3.071454300,1.042531600,4.117881600,1.716036200,sieve,2.399647280,true
350,210210000001,210810599999,115200000,48602815,23034888,6077225,6075364,0.999694,fair,false,true,false,true,14400000,5,0,1.948604900,1.561682700,1.944485600,1.588763000,1.938633600,1.574407800,1.957860700,1.566414400,1.951468900,1.516909100,0.002040100,1.469529900,0.479075000,1.948604900,1.566414400,sieve,1.243990671,true
